"Argentina","argentine peso","ARS ","",3.71,3.06,2.9,"",3.05,2.92,2.9,3.14,3.1,4.11,3.9,"","","",""
"Gabon","communaute financiere africaine franc","XAF","",472.19,696.99,581.2,"",522.89,528.28,527.47,447.81,479.27,471.87,495.28,"","","",""
"Tonga","pa'anga","TOP ","",2.03,2.2,2.15,"",2.03,1.97,1.94,1.94,1.97,1.73,1.91,"","","",""
"Estonia","kroon","EUR","",11.26,16.61,13.86,"",12.47,12.6,12.58,10.69,11.43,"","","","","",""
"Guinea-Bissau","communaute financiere africaine franc","XAF","",472.19,696.99,581.2,"",522.89,528.28,527.47,447.81,479.27,471.87,495.28,"","","",""
"Ecuador","us dollar","USDXXX","","",1.0,1.0,"",1.0,1.0,1.0,1.0,1.0,"","","","","",""
"Thailand","baht","THB","",34.29,42.96,41.48,"",37.88,40.22,40.22,33.31,34.52,30.49,31.69,"","","",""
"Bulgaria","leva","BGN ","",1.41,2.08,1.73,"",1.56,1.58,1.57,1.34,1.43,1.41,1.48,"","","",""
"Sierra Leone","leone","SLL ","",3385.65,2099.03,2347.94,"",2961.91,2701.3,2889.59,2981.51,2985.19,4230.53,3978.09,"","","",""
"Comoros","comoran franc","KMF ","",354.14,522.74,435.9,"",392.17,396.21,395.6,335.85,359.45,353.9,371.46,"","","",""
"Swaziland","emalangeni","SZL ","",8.47,10.54,7.56,"",6.77,6.46,6.36,8.26,7.05,7.26,7.32,"","","",""
"Antigua and Barbuda","east caribbean dollar","XCD","",2.7,2.7,2.7,2.6916,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.6707,"","",""
"Mauritania","ouguiya","MRO ","",262.37,271.74,263.03,"",268.6,"",265.53,238.2,258.59,281.12,275.89,"","","",""
"Canada","canadian dollar","CAD ","",1.14,1.57,1.4,"",1.13,1.3,1.21,1.07,1.07,0.99,1.03,"","","",""
"Cambodia","riel","KHR ","",4139.33,3912.08,3973.33,"",4103.25,4016.25,4092.5,4054.17,4056.17,4058.5,4184.92,"","","",""
"Bermuda","us dollar","USD","",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"",1.0,1.0,"","",""
"Brunei Darussalam","bruneian dollar","BND","",1.45,1.79,1.74,"",1.59,1.69,1.66,1.42,1.51,1.26,1.36,"","","",""
"Australia","australian dollar","AUD","",1.28,1.84,1.54,"",1.33,1.36,1.31,1.19,1.2,0.97,1.09,"","","",""
"Mozambique","meticai","MZN ","",27.52,23.68,23.78,"",25.4,22.58,23.06,24.3,25.84,29.07,33.96,"","","",""
"Egypt  Arab Rep.","egyptian pound","EGP","",5.54,4.5,5.85,"",5.73,6.2,5.78,5.43,5.64,5.93,5.62,"","","",""
"Bangladesh","taka","BDT ","",69.04,57.89,58.15,"",68.93,59.51,64.33,68.6,68.87,74.15,69.65,"","","",""
"Kuwait","kuwaiti dinar","KWD ","",0.29,0.3,0.3,"",0.29,0.29,0.29,0.27,0.28,0.28,0.29,"","","",""
"Vietnam","dong","VND ","",1065.08,1279.5,1509.58,"",1994.25,1746.0,1858.92,1302.25,1105.13,2450.1,1612.92,"","","",""
"Zimbabwe","zimbabwean dollars","ZWL ","","",0.06,0.7,"",164.55,5.07,22.39,6723050000.0,9686.77,"","","","","",""
"Macao SAR  China","pataca","MOP","",7.98,8.03,8.02,"",8.0,8.02,8.01,8.02,8.04,8.02,8.0,"","","",""
"Aruba","aruban guilder","AWG ","",1.79,1.79,1.79,"",1.79,1.79,1.79,1.79,1.79,1.79,1.79,"","","",""
"Niger","communaute financiere africaine franc","XAF","",472.19,696.99,581.2,"",522.89,528.28,527.47,447.81,479.27,471.87,495.28,"","","",""
"Libya","libyan dinar","LYD ","",1.25,1.27,1.29,"",1.31,1.3,1.31,1.22,1.26,1.22,1.27,"","","",""
"Burundi","burundi franc","BIF ","",1230.18,930.75,1082.62,"",1028.68,1100.9,1081.58,1185.69,1081.87,1261.07,1230.75,"","","",""
"Chad","communaute financiere africaine franc","XAF","",472.19,696.99,581.2,"",522.89,528.28,527.47,447.81,479.27,471.87,495.28,"","","",""
"","e franc","XAF","",472.19,696.99,581.2,"",522.89,528.28,527.47,447.81,479.27,471.87,495.28,"","","",""
"Tunisia","tunisian dinar","TND ","",1.35,1.42,1.29,"",1.33,1.25,1.3,1.23,1.28,1.41,1.43,"","","",""
"Saudi Arabia","saudi riyal","SAR ","",3.75,3.75,3.75,"",3.75,3.75,3.75,3.75,3.75,3.75,3.75,"","","",""
"Pakistan","pakistani rupee","PKR ","",81.71,59.72,57.75,"",60.27,58.26,59.51,70.41,60.74,86.34,85.19,"","","",""
"Jamaica","jamaican dollars","JMD ","",87.89,48.42,57.74,"",65.74,61.2,62.28,72.76,69.19,85.89,87.2,"","","",""
"Congo  Dem. Rep.","congolese franc","CDF","",809.79,346.69,405.4,"",468.28,399.48,473.91,559.29,516.75,919.49,905.91,"","","",""
"Nicaragua","cordoba","NIO ","",20.34,14.25,15.1,"",17.57,15.94,16.73,19.37,18.45,22.42,21.36,"","","",""
"Equatorial Guinea","communaute financiere africaine franc","XAF","",472.19,696.99,581.2,"",522.89,528.28,527.47,447.81,479.27,471.87,495.28,"","","",""
"Cameroon","communaute financiere africaine franc","XAF","",472.19,696.99,581.2,"",522.89,528.28,527.47,447.81,479.27,471.87,495.28,"","","",""
"New Caledonia","comptoirs francais du oacifique franc","XPF ","","",126.8,105.73,"",95.12,96.11,95.96,"",87.19,"","","","","",""
"Serbia","serbian dinar","RSD ","",67.58,64.4,57.59,"",67.15,58.38,66.71,55.72,58.45,73.33,77.73,"","","",""
"Korea  Rep.","south korean won","KRW","",1276.93,1251.09,1191.61,"",954.79,1145.32,1024.12,1102.05,929.26,1108.29,1156.06,"","","",""
"Trinidad and Tobago","trinidad and tobago dollar","TTD ","",6.32,6.25,6.3,"",6.31,6.3,6.3,6.29,6.33,6.41,6.38,"","","",""
"Sri Lanka","sri lankan rupee","LKR ","",114.94,95.66,96.52,"",103.91,101.19,100.5,108.33,110.62,110.57,113.06,"","","",""
"Guatemala","quetzales","GTQ ","",8.16,7.82,7.94,"",7.6,7.95,7.63,7.56,7.67,7.79,8.06,"","","",""
"Madagascar","malagasy ariary","MGA ","",1956.21,1366.39,1238.33,"",2142.3,1868.86,2003.03,1708.37,1873.88,2025.12,2089.95,"","","",""
"South Africa","rand","ZAR ","",8.47,10.54,7.56,"",6.77,6.46,6.36,8.26,7.05,7.26,7.32,"","","",""
"Uruguay","uruguayan peso","UYI ","",22.57,21.26,28.21,"",24.07,28.7,24.48,20.95,23.47,19.31,20.06,"","","",""
"Senegal","communaute financiere africaine franc","XAF","",472.19,696.99,581.2,"",522.89,528.28,527.47,447.81,479.27,471.87,495.28,"","","",""
"Russian Federation","russian ruble","RUB","",31.74,31.35,30.69,"",27.19,28.81,28.28,24.85,25.58,29.38,30.37,"","","",""
"Ukraine","hryvnia","UAH ","",7.79,5.33,5.33,"",5.05,5.32,5.12,5.27,5.05,7.97,7.94,"","","",""
"New Zealand","new zealand dollar","NZD","",1.6,2.16,1.72,"",1.54,1.51,1.42,1.42,1.36,1.27,1.39,"","","",""
"Papua New Guinea","kina","PGK ","",2.76,3.9,3.56,"",3.06,3.22,3.1,2.7,2.97,2.37,2.72,"","","",""
"Mauritius","mauritian rupee","MUR ","",31.96,29.96,27.9,"",31.71,27.5,29.5,28.45,31.31,28.71,30.78,"","","",""
"Botswana","pula","BWP ","",7.16,6.33,4.95,"",5.84,4.69,5.11,6.83,6.14,6.84,6.79,"","","",""
"Tajikistan","tajikistani somoni","TJS ","",4.14,2.76,3.06,"",3.3,2.97,3.12,3.43,3.44,4.61,4.38,"","","",""
"Virgin Islands (U.S.)","us dollar","USD","1",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Colombia","colombian peso","COP ","",2158.26,2504.24,2877.65,"",2361.14,2628.61,2320.83,1967.71,2078.29,1848.14,1898.57,"","","",""
"Malta","euro","EUR","","",0.43,0.38,"",0.34,0.34,0.35,"",0.31,"","","","","",""
"Indonesia","indonesian rupiah","IDR ","",1389.94,9311.19,8577.13,"",9159.32,8938.85,9704.74,9698.96,9141.0,8770.43,9090.43,"","","",""
"Ethiopia","birr","ETB ","",11.78,8.57,8.6,"",8.7,8.64,8.67,9.6,8.97,16.9,14.41,"","","",""
"Afghanistan","afghani","AFN ","",50.23,47.26,48.76,4835.8,49.93,47.85,49.49,50.25,49.96,46.58,46.45,4749.61,"","",""
"Central African Republic","communaute financiere africaine franc","XAF","",472.19,696.99,581.2,"",522.89,528.28,527.47,447.81,479.27,471.87,495.28,"","","",""
"Bahamas  The","us dollar","USD","1",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Nepal","nepalese rupee","NPR ","",77.55,77.88,76.14,"",72.76,73.67,71.37,69.76,66.42,74.02,73.16,"","","",""
"Chile","chilean peso","CLF ","",560.86,688.94,691.4,"",530.28,609.53,559.77,522.46,522.46,483.67,510.25,"","","",""
"Bhutan","ngultrum","BTN ","",48.41,48.61,46.58,"",45.31,45.32,44.1,43.51,41.35,46.67,45.73,"","","",""
"Isle of Man","british pound","GBP","",0.64,0.67,0.61,"",0.54,0.55,0.55,0.54,0.5,0.62,0.65,"","","",""
"Cyprus","euro","EUR","","",0.61,0.52,"",0.46,0.47,0.46,"",0.43,"","","","","",""
"Czech Republic","koruny","CZK ","",19.06,32.74,28.21,"",22.6,25.7,23.96,17.07,20.29,17.7,19.1,"","","",""
"Sudan","sudanese pound","SDG ","",2.3,2.63,2.61,"",2.17,2.58,2.44,2.09,2.02,2.67,2.31,"",2.67,2.67,""
"Hong Kong SAR  China","hong kong dollar","HKD","",7.75,7.8,7.79,"",7.77,7.79,7.78,7.79,7.8,7.78,7.77,"","","",""
"Timor-Leste","us dollar","USD","1",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"El Salvador","Salvadoran col?n","SVC","",8.75,8.75,8.75,8.7371,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.7507,8.75,8.75,""
"Georgia","lari","GEL","",1.67,2.2,2.15,"",1.78,1.92,1.81,1.49,1.67,1.69,1.78,"","","",""
"Kenya","kenyan shilling","KES ","",77.35,78.75,75.94,"",72.1,79.17,75.55,69.18,67.32,88.81,79.23,"","","",""
"Costa Rica","costa rican colones","CRC","",573.29,359.82,398.66,"",511.3,437.94,477.79,526.24,516.62,505.66,525.83,"","","",""
"Sao Tome and Principe","dobra","STD","",1208.45,9088.33,9347.58,"",1448.64,9902.32,1557.97,1695.2,1536.76,1624.2,1498.6,"","","",""
"Vanuatu","vatu","VUV ","",106.74,139.2,122.19,"",110.64,111.79,109.25,101.33,102.44,87.03,96.91,"","","",""
"Cayman Islands","caymanian dollar","KYD ","","",0.83,0.83,"",0.83,0.83,0.83,"","","","","","","",""
"Iraq","iraqi dinar","IQD ","",1170.0,0.31,2133.78,"",1467.42,1453.42,1472.0,1193.08,1254.57,1170.0,1170.0,"","","",""
"China","renminbi yuan","CNY ","",6.83,8.28,8.28,"",7.97,8.28,8.19,6.95,7.61,6.46,6.77,"","","",""
"India","rupee","INR ","",48.41,48.61,46.58,"",45.31,45.32,44.1,43.51,41.35,46.67,45.73,"","","",""
"Greenland","danish kroner","DKK","",5.36,7.89,6.59,"",5.95,5.99,6.0,5.1,5.44,5.37,5.62,"","","",""
"Algeria","algerian dinar","DZD ","",72.65,79.68,77.39,72.1971,72.65,72.06,73.28,64.58,69.29,72.94,74.39,73.9972,"","",""
"Uganda","ugandan shilling","UGX ","",2030.49,1797.55,1963.72,"",1831.45,1810.3,1780.67,1720.44,1723.49,2522.75,2177.56,"","","",""
"San Marino","euro","EUR","",0.72,1.06,0.89,"",0.8,0.81,0.8,0.68,0.73,0.72,0.76,"","","",""
"Slovak Republic","","EUR","","",45.33,36.77,"",29.7,32.26,31.02,21.36,24.69,"","","","","",""
