"Category","DisplayName","BaseCostCur","chain","Make","ColdLifetime","ClassName","BaseCostYear","AlarmDays","freezer","SnoozeDays","Name","Notes","PowerRateUnits","BaseCost","NoPowerHoldoverDays","Model","Requires","PowerRate","cooler","roomtemperature","Year","Technology","Energy"
"RefrigeratorFreezer","Electrolux RCW50EG/CF (2008): Electric","EUR","","Electrolux","","ElectricFridge",2000,"",0.0,"","N_RCW50EGCF_2008_E","","kWh/day",1234.0,0.0,"RCW50EG/CF","",3.5,24.0,0.0,"2008","","E"
"IceLinedRefrigerator","Vestfrost MF314 (2007): Electric","EUR","","Vestfrost","","ElectricFridge",2011,"",264.0,"","N_MF314_2007_E","","kWh/day",559.0,0.0,"MF314","",4.23,0.0,0.0,"2007","","E"
"IceLinedRefrigerator","Vestfrost MF304 (2003): Electric","EUR","","Vestfrost","","ElectricFridge",2009,"",172.0,"","N_MF304_2003_E","","kWh/day",744.0,0.0,"MF304","",3.2,0.0,0.0,"2003","","E"
"IceLinedRefrigerator","Vestfrost MF304 (2004): Electric","EUR","","Vestfrost","","ElectricFridge",2009,"",172.0,"","N_MF304_2004_E","","kWh/day",744.0,0.0,"MF304","",3.2,0.0,0.0,"2004","","E"
"RefrigeratorFreezer","Sibir V170GE : Propane","SEK","","Sibir","","Fridge",2000,"",36.0,"","N_V170GE_U_G","","Kg/day",7186.0,0.0,"V170GE","",0.41,55.0,0.0,"YearUnk","","G"
"outdoors","outdoors","EUR","","mothernature","","Fridge",2012,"",0.0,"","OUTDOORS","0","kW",0.0,0.0,"outdoors","",0.0,0.0,1000000000.0,"YearUnk","","S"
"RefrigeratorFreezer","Sibir V170GE : Electric","SEK","","Sibir","","ElectricFridge",2000,"",36.0,"","N_V170GE_U_E","","kWh/day",7186.0,0.0,"V170GE","",5.3,55.0,0.0,"YearUnk","","E"
"RefrigeratorFreezer","Sibir V170EK (2003): Electric","SEK","","Sibir","","ElectricFridge",2000,"",36.0,"","N_V170EK_2003_E","","kWh/day",7186.0,0.0,"V170EK","",5.3,55.0,0.0,"2003","","E"
"RefrigeratorFreezer","Sibir V110GE (2006): Propane","SEK","","Sibir","","Fridge",2000,"",0.0,"","N_V110GE_2006_G","","Kg/day",6350.0,0.0,"V110GE","",0.26,17.0,0.0,"2006","","G"
"RefrigeratorFreezer","Sibir V110GE (2006): Electric","SEK","","Sibir","","ElectricFridge",2000,"",0.0,"","N_V110GE_2006_E","","kWh/day",6350.0,0.0,"V110GE","",5.3,17.0,0.0,"2006","","E"
"RefrigeratorFreezer","Sibir V170GE (2002): Electric","SEK","","Sibir","","ElectricFridge",2000,"",36.0,"","N_V170GE_2002_E","","kWh/day",7186.0,0.0,"V170GE","",5.3,55.0,0.0,"2002","","E"
"Freezer","Electrolux TFW791 (2001): Electric","EUR","","Electrolux","","ElectricFridge",2012,"",50.0,"","N_TFW791_2001_E","","kWh/day",1500.0,0.0,"TFW791","",2.5,0.0,0.0,"2001","","E"
"RefrigeratorFreezer","Sibir V170GE (2001): Propane","SEK","","Sibir","","Fridge",2000,"",36.0,"","N_V170GE_2001_G","","Kg/day",7186.0,0.0,"V170GE","",0.41,55.0,0.0,"2001","","G"
"Refrigerator","Electrolux TC883 (1987): Electric","EUR","","Electrolux","","ElectricFridge",2000,"",229.0,"","N_TC883_1987_E","","kWh/day",2100.0,0.0,"TC883","",3.0,0.0,0.0,"1987","","E"
