CATEGORY,FUNCTION,NAME,idcode,Device Utilization Rate,UseVialsLatency,UseVialsInterval,Latitude,Longitude,PowerOutageFrequencyPerYear,PowerOutageDurationSigma,SiteCostCur,PowerOutageDurationDays,SiteCostPerYear,SiteCostBaseYear,Inventory,Notes
Trader,Distribution,Gopinathapur Market,3070008,1.0,0.0,7.0,20.3836717,85.3723973,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Maniabandha Market,3070009,1.0,0.0,7.0,20.4410419,85.4349783,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Ragadipada Market,3070010,1.0,0.0,7.0,20.4174978,85.3872426,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Ratapat Market,3070011,1.0,0.0,7.0,20.4181122,85.2437841,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Nuataila Market,3070012,1.0,0.0,7.0,20.4337418,85.3833703,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Anuary Market,3070013,1.0,0.0,7.0,20.3446175,85.4414258,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Pathuripada Market,3070014,1.0,0.0,7.0,20.3274787,85.4378848,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Baunsput Market,3070015,1.0,0.0,7.0,20.46546,85.501663,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Nandahatapalli Market,3070016,1.0,0.0,7.0,20.3105123,85.3872426,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Kadalibadi Market,3070017,1.0,0.0,7.0,20.4841114,85.6075064,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Kalapathar Market,3070018,1.0,0.0,7.0,20.2895077,85.3794977,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Kantakai Market,3070019,1.0,0.0,7.0,20.3275665,85.414341,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Kantakaipatana Market,3070020,1.0,0.0,7.0,20.3270854,85.4101481,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Kendupalli Market,3070021,1.0,0.0,7.0,20.3248947,85.3691695,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Gahiragadia Market,3070022,1.0,0.0,7.0,20.462562,85.882836,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Pandalam Market,3070023,1.0,0.0,7.0,20.2704563,85.4465833,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Panigrahipurpatana Market,3070024,1.0,0.0,7.0,20.2719243,85.4030516,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Banara Market,3070025,1.0,0.0,7.0,20.4163161,85.751283,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Gadajit Market,3070026,1.0,0.0,7.0,20.3604118,85.6537627,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Durgapur Market,3070027,1.0,0.0,7.0,20.359688,85.5071469,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Naraganga Market,3070028,1.0,0.0,7.0,20.3093105,85.5094841,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Pathapur Market,3070029,1.0,0.0,7.0,20.4378307,85.6588999,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Harirajpur Market,3070030,1.0,0.0,7.0,20.3894007,85.5650695,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Tala Basta Market,3070031,1.0,0.0,7.0,20.3173879,85.5972218,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Tulasipur Market,3070032,1.0,0.0,7.0,20.306585,85.522599,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Naranapur Market,3070033,1.0,0.0,7.0,20.4337022,85.8563007,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Rahura Market,3070034,1.0,0.0,7.0,20.3245592,85.9572775,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Maheshpur Market,3070035,1.0,0.0,7.0,20.3470064,85.9636618,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Kunheipara Market,3070036,1.0,0.0,7.0,20.442097,85.8446526,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Brahmanjharilo Market,3070037,1.0,0.0,7.0,20.317027,85.931804,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Kurangsasan Market,3070038,1.0,0.0,7.0,20.2991981,85.9534465,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Chakradharpur Market,3070039,1.0,0.0,7.0,20.4257944,85.7743536,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Mundali Market,3070040,1.0,0.0,7.0,20.4430118,85.748719,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Narajmarthapur Market,3070041,1.0,0.0,7.0,20.4762776,85.7717907,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Jasapada Market,3070042,1.0,0.0,7.0,20.4090411,86.0434001,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Kamapur Market,3070043,1.0,0.0,7.0,20.3978495,86.0252305,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Kesannagar Market,3070044,1.0,0.0,7.0,20.4272154,86.091184,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Santarapur Market,3070045,1.0,0.0,7.0,20.415401,86.084646,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Praharajpur Market,3070046,1.0,0.0,7.0,20.3860332,86.1115583,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Adaspur Market,3070047,1.0,0.0,7.0,20.2192754,86.016043,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Saleibedapur-III Market,3070048,1.0,0.0,7.0,20.2045132,86.038938,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Badapatasundarpur Market,3070049,1.0,0.0,7.0,20.2883565,85.9993997,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Badakhalagan Market,3070050,1.0,0.0,7.0,20.2661438,86.0032273,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Bagalpur Market,3070051,1.0,0.0,7.0,20.2758811,85.9738752,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Baghua Market,3070052,1.0,0.0,7.0,20.253287,85.968959,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Deuli Market,3070053,1.0,0.0,7.0,20.2653874,85.9700454,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Sundargram Market,3070054,1.0,0.0,7.0,20.2766938,85.9646269,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Badabil Market,3070055,1.0,0.0,7.0,20.2713249,86.035113,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Dimiri Market,3070056,1.0,0.0,7.0,20.2224665,86.0440375,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Balipada Market,3070057,1.0,0.0,7.0,20.322997,86.0162,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Majurai Market,3070058,1.0,0.0,7.0,20.317214,86.026567,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Sankhua Market,3070059,1.0,0.0,7.0,20.311265,86.02168,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Simalda Market,3070060,1.0,0.0,7.0,20.455665,85.79484,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,Using Govindapur as a proxy
Trader,Distribution,Kantapada Market,3070061,1.0,0.0,7.0,20.2510269,85.9825172,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Nahalpur Market,3070062,1.0,0.0,7.0,20.32841,85.9955719,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Babaja Market,3070063,1.0,0.0,7.0,20.2287554,86.059333,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Uttarana Market,3070064,1.0,0.0,7.0,20.2314433,86.046587,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Gobindpur Market,3070065,1.0,0.0,7.0,20.5301809,86.2425242,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Sukuapada Market,3070066,1.0,0.0,7.0,20.560749,86.2288711,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Haladia Market,3070067,1.0,0.0,7.0,20.5361304,86.2425242,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Jalasarpur Market,3070068,1.0,0.0,7.0,20.583466,86.1624587,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Kuhunda Market,3070069,1.0,0.0,7.0,20.5952524,86.1573709,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Jagannathpur Market,3070070,1.0,0.0,7.0,20.327984,85.912565,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Parsurampur Market,3070071,1.0,0.0,7.0,20.5551751,86.1948813,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Pallisahi Market,3070072,1.0,0.0,7.0,20.5409202,86.1891612,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Podamarai Market,3070073,1.0,0.0,7.0,20.5673934,86.2437941,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Barakoli Market,3070074,1.0,0.0,7.0,20.4661376,85.1265423,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Janisahi Market,3070075,1.0,0.0,7.0,20.5419757,84.9466368,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Jayamangalpur(Ka) Market,3070076,1.0,0.0,7.0,20.534374,84.96785,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Baselihata Market,3070077,1.0,0.0,7.0,20.4097293,85.2088319,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Mardanpatana Market,3070078,1.0,0.0,7.0,20.414812,85.190363,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Harichandanpur Market,3070079,1.0,0.0,7.0,20.4689611,85.0947601,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Anlo-1 Market,3070080,1.0,0.0,7.0,20.1942503,86.0453123,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Barimundei Market,3070081,1.0,0.0,7.0,20.1420928,86.1064655,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Bilasuni Market,3070082,1.0,0.0,7.0,20.1708821,86.0806753,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Erancha Market,3070083,1.0,0.0,7.0,20.2423913,86.0708016,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Kasarada Market,3070084,1.0,0.0,7.0,20.206639,86.076545,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,New search yields same result as old search
Trader,Distribution,Patrakana Market,3070085,1.0,0.0,7.0,20.2200064,86.066979,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Nuasatanga Market,3070086,1.0,0.0,7.0,20.0831914,86.1319245,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Purunasatanga Market,3070087,1.0,0.0,7.0,20.0733491,86.1236517,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Madhaba Market,3070088,1.0,0.0,7.0,20.1004714,86.1064655,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Niali Market,3070089,1.0,0.0,7.0,20.1410778,86.0606074,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Pubakhanda Market,3070090,1.0,0.0,7.0,20.1292996,86.0657047,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Salapoi Market,3070091,1.0,0.0,7.0,20.0587771,86.1713611,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Nuagan Market,3070092,1.0,0.0,7.0,20.2142,85.838587,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Pahanga Market,3070093,1.0,0.0,7.0,20.1544322,86.1268337,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Sithalo Market,3070094,1.0,0.0,7.0,20.2021156,86.1319245,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Mallikapur Market,3070095,1.0,0.0,7.0,20.4196291,86.2196612,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Janardanpur Market,3070096,1.0,0.0,7.0,20.454225,86.126335,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Jhadeswarpur Market,3070097,1.0,0.0,7.0,20.5136281,86.2336343,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Paschimakhandabhola Market,3070098,1.0,0.0,7.0,20.4828045,86.2526823,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Mahammadpur Market,3070099,1.0,0.0,7.0,20.40036,86.26112,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Manapur Market,3070100,1.0,0.0,7.0,19.8985786,85.4048258,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
