From,To,Seconds,Meters
1070002,3150069,7868,79539
1070002,3150070,6425,69602
1070002,3150071,7539,81616
1070002,3150072,8081,88964
1070002,3150073,6700,70714
1070002,3150074,11195,149511
1070002,3150075,11212,149829
1070002,3150076,10301,129292
1070002,3150077,10083,126548
1070002,3150078,10507,131299
1070002,3150079,10060,120144
1070002,3150080,10476,122427
1070002,3150081,8416,82960
1070002,3150082,8351,82738
1070002,3150083,8051,86278
1070002,3150084,8849,89162
1070002,3150085,8821,89027
1070002,3150086,9115,91151
1070002,3150087,8054,85469
1070002,3150088,8055,85479
1070002,3150089,7591,80579
1070002,3150090,7892,84091
1070002,3150091,8583,88862
1070002,3150092,7868,79426
1070002,3150093,7973,80502
1070002,3150094,5605,58986
1070002,3150095,-1,-1
1070002,3150096,7884,81376
1070002,3150097,7922,85805
1070002,3150098,8070,81444
1070002,3150099,9675,105040
1070002,3150100,7242,74626
1070002,3150101,7182,73986
1070002,3150102,6964,71808
1070002,3150103,9730,107898
1070002,3150104,9617,106607
1070002,3150105,8672,98786
1070002,3150106,9642,106919
1070002,3150107,9572,118797
1070002,3150108,9500,117044
1070002,3150109,10084,127632
1070002,3150110,9597,117448
1070002,3150111,8892,98163
1070002,3150112,8950,98846
1070002,3150113,8965,99000
1070002,3150114,8921,99186
1070002,3150115,9227,102044
1070002,3150116,8789,97773
1070002,3150117,9720,112240
1070002,3150118,7303,85332
1070002,3150119,9420,112852
1070002,3150052,7392,75919
1070002,3070136,6502,76962
1070002,3150003,7432,88938
1070002,3150004,7310,87387
1070002,3150010,8997,104104
1070002,3150005,7657,90791
1070002,3150006,8073,94296
1070002,3150011,8449,96420
1070002,3150007,7197,86043
1070003,3070137,5750,66772
1070003,3150001,5440,63773
1070003,3150002,5447,63834
1070003,3070001,5941,68765
1070003,3070002,3323,38423
1070003,3070003,3403,39081
1070003,3070004,-1,-1
1070003,3070005,2962,34178
1070003,3070006,3579,41418
1070003,3070007,4694,52614
1070003,3070008,4900,53726
1070003,3070009,3265,37589
1070003,3070010,4149,46012
1070003,3070011,5240,59058
1070003,3070012,3931,44246
1070003,3070013,1244,11612
1070003,3070014,2293,19562
1070003,3070015,2467,28944
1070003,3070016,2545,22499
1070003,3070017,1914,19269
1070003,3070018,2478,21898
1070003,3070019,2421,20723
1070003,3070020,2406,20617
1070003,3070021,2385,21595
1070003,3070022,4211,49317
1070003,3070023,2128,18395
1070003,3070024,2525,23521
1070003,3070025,2044,26918
1070003,3070026,5368,60829
1070003,3070027,366,3017
1070003,3070028,916,8518
1070003,3070029,1344,16763
1070003,3070030,466,4505
1070003,3070031,2257,23079
1070003,3070032,933,8679
1070003,3070033,3204,40229
1070003,3070034,5135,61340
1070003,3070035,5129,58249
1070003,3070036,3174,39304
1070003,3070037,4612,57898
1070003,3070038,4825,60788
1070003,3070039,2636,31201
1070003,3070040,2292,28465
1070003,3070041,2799,32988
1070003,3070042,5557,65599
1070003,3070043,5237,62468
1070003,3070044,6424,72643
1070003,3070045,5990,72424
1070003,3070046,6236,75368
1070003,3070047,5811,72296
1070003,3070048,6324,76521
1070003,3070049,5454,69363
1070003,3070050,6014,74169
1070003,3070051,5185,63978
1070003,3070052,5411,67018
1070003,3070053,5079,64858
1070003,3070054,5094,63599
1070003,3070055,5793,72687
1070003,3070056,6303,76623
1070003,3070057,5979,66903
1070003,3070058,6064,67731
1070003,3070059,6108,68155
1070003,3070060,2971,34505
1070003,3070061,5246,67150
1070003,3070062,5725,66798
1070003,3070063,6587,78639
1070003,3070064,6543,78434
1070003,3070065,8622,92507
1070003,3070066,8449,89961
1070003,3070067,8851,94273
1070003,3070068,7227,88363
1070003,3070069,6820,84477
1070003,3070070,4589,56417
1070003,3070071,7676,92253
1070003,3070072,7706,84430
1070003,3070073,8474,90167
1070003,3070074,6246,61344
1070003,3070075,8292,83160
1070003,3070076,8218,82257
1070003,3070077,5541,62352
1070003,3070078,5725,64464
1070003,3070079,6730,67227
1070003,3070080,6395,77055
1070003,3070081,7669,90260
1070003,3070082,7183,87545
1070003,3070083,6624,78907
1070003,3070084,6756,80535
1070003,3070085,6532,78730
1070003,3070086,7869,93718
1070003,3070087,8527,99158
1070003,3070088,7503,91698
1070003,3070089,6642,83005
1070003,3070090,6742,83839
1070003,3070091,9442,106450
1070003,3070092,5709,71870
1070003,3070093,8043,93058
1070003,3070094,7736,87592
1070003,3070095,8460,99034
1070003,3070096,7097,77984
1070003,3070097,8588,92339
1070003,3070098,7897,88586
