location ID,district,block,gram panchayat,village,display name,latitude,longitude,notes: re location,supply chain level,function,sector,fixed/mobile,operating schedule,hectares under cultivation for potatoes,total population in village
3070015,Cuttack,Banki,Baunsaput,Baunsput,"Weekly Market, Baunsput",20.46546,85.501663,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,4043
3070016,Cuttack,Banki,Jaganathpur,Nandahatapalli,"Weekly Market, Nandahatapalli",20.3105123,85.3872426,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,473
3070017,Cuttack,Banki,Kadalibadi,Kadalibadi,"Weekly Market, Kadalibadi",20.4841114,85.6075064,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,4982
3070018,Cuttack,Banki,Kalapathara,Kalapathar,"Weekly Market, Kalapathar",20.2895077,85.3794977,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,2601
3070019,Cuttack,Banki,Kalipoi,Kantakai,"Weekly Market, Kantakai",20.3275665,85.414341,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,1845
3070020,Cuttack,Banki,Kalipoi,Kantakaipatana,"Weekly Market, Kantakaipatana",20.3270854,85.4101481,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,370
3070021,Cuttack,Banki,Kendupalli,Kendupalli,"Weekly Market, Kendupalli",20.3248947,85.3691695,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,4256
3070022,Cuttack,Banki,Puincha,Gahiragadia,"Weekly Market, Gahiragadia",20.462562,85.882836,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,712
3070023,Cuttack,Banki,Puincha,Pandalam,"Weekly Market, Pandalam",20.2704563,85.4465833,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,2143
3070024,Cuttack,Banki,Puincha,Panigrahipurpatana,"Weekly Market, Panigrahipurpatana",20.2719243,85.4030516,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,243
3070025,Cuttack,Banki-Dampara,Banara,Banara,"Weekly Market, Banara",20.4163161,85.751283,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,4456
3070026,Cuttack,Banki-Dampara,Dampada,Gadajit,"Weekly Market, Gadajit",20.3604118,85.6537627,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,5676
3070027,Cuttack,Banki-Dampara,Durgapur,Durgapur,"Weekly Market, Durgapur",20.359688,85.5071469,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,1917
3070028,Cuttack,Banki-Dampara,Naraganga,Naraganga,"Weekly Market, Naraganga",20.3093105,85.5094841,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,5080
3070029,Cuttack,Banki-Dampara,Pathapur,Pathapur,"Weekly Market, Pathapur",20.4378307,85.6588999,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,4553
3070030,Cuttack,Banki-Dampara,Similipur,Harirajpur,"Weekly Market, Harirajpur",20.3894007,85.5650695,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,4443
3070031,Cuttack,Banki-Dampara,Talabasta,Tala Basta,"Weekly Market, Tala Basta",20.3173879,85.5972218,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,11361
3070032,Cuttack,Banki-Dampara,Tulasipur,Tulasipur,"Weekly Market, Tulasipur",20.306585,85.522599,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,2387
3070033,Cuttack,Barang,Belagachhia,Naranapur,"Weekly Market, Naranapur",20.4337022,85.8563007,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,610
3070034,Cuttack,Barang,Harianta,Rahura,"Weekly Market, Rahura",20.3245592,85.9572775,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,505
3070035,Cuttack,Barang,Khalarda,Maheshpur,"Weekly Market, Maheshpur",20.3470064,85.9636618,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,1585
3070036,Cuttack,Barang,Kunheipada,Kunheipara,"Weekly Market, Kunheipara",20.442097,85.8446526,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,2768
3070037,Cuttack,Barang,Kurangapadhan,Brahmanjharilo,"Weekly Market, Brahmanjharilo",20.317027,85.931804,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,2390
3070038,Cuttack,Barang,Kurungasasan,Kurangsasan,"Weekly Market, Kurangsasan",20.2991981,85.9534465,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,2401
3070039,Cuttack,Barang,Mundali,Chakradharpur,"Weekly Market, Chakradharpur",20.4257944,85.7743536,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,550
3070040,Cuttack,Barang,Mundali,Mundali,"Weekly Market, Mundali",20.4430118,85.748719,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,5265
3070041,Cuttack,Barang,Narajmarthapur,Narajmarthapur,"Weekly Market, Narajmarthapur",20.4762776,85.7717907,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,3972
3070042,Cuttack,Cuttack Sadar,Jaspada,Jasapada,"Weekly Market, Jasapada",20.4090411,86.0434001,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,2290
3070043,Cuttack,Cuttack Sadar,Kandarpur,Kamapur,"Weekly Market, Kamapur",20.3978495,86.0252305,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,831
