RouteName,idcode,LocName,Type,RouteOrder,TransitHours,TruckType,ShipIntervalDays,ShipLatencyDays,PullOrderAmountDays,DistanceKM,Conditions,Notes,PickupDelayMagnitude,PickupDelaySigma, PickupDelayFrequency,PerDiemType
r_1070003_3070020,3070020,Kantakaipatana Market,SchedPush,1,0.6683333333333333,NA,7,NA,NA,20.617,NA,NA,NA,NA,NA,NA
r_1070003_3070021,1070003,Potato farms in Banki tehsil,SchedPush,0,0.6625,NA,7,NA,NA,21.595,NA,NA,NA,NA,NA,NA
r_1070003_3070021,3070021,Kendupalli Market,SchedPush,1,0.6625,NA,7,NA,NA,21.595,NA,NA,NA,NA,NA,NA
r_1070004_3070022,1070004,Potato farms in Barang tehsil,SchedPush,0,0.48083333333333333,NA,7,NA,NA,13.757,NA,NA,NA,NA,NA,NA
r_1070004_3070022,3070022,Gahiragadia Market,SchedPush,1,0.48083333333333333,NA,7,NA,NA,13.757,NA,NA,NA,NA,NA,NA
r_1070003_3070023,1070003,Potato farms in Banki tehsil,SchedPush,0,0.5911111111111111,NA,7,NA,NA,18.395,NA,NA,NA,NA,NA,NA
r_1070003_3070023,3070023,Pandalam Market,SchedPush,1,0.5911111111111111,NA,7,NA,NA,18.395,NA,NA,NA,NA,NA,NA
r_1150006_3070024,1150006,Potato farms in Bolagarh tehsil,SchedPush,0,0.6566666666666666,NA,7,NA,NA,23.729,NA,NA,NA,NA,NA,NA
r_1150006_3070024,3070024,Panigrahipurpatana Market,SchedPush,1,0.6566666666666666,NA,7,NA,NA,23.729,NA,NA,NA,NA,NA,NA
r_1070005_3070025,1070005,Potato farms in Cuttack Sadar tehsil,SchedPush,0,0.25833333333333336,NA,7,NA,NA,8.868,NA,NA,NA,NA,NA,NA
r_1070005_3070025,3070025,Banara Market,SchedPush,1,0.25833333333333336,NA,7,NA,NA,8.868,NA,NA,NA,NA,NA,NA
r_1150005_3070026,1150005,Potato farms in Bhubaneswar tehsil,SchedPush,0,0.48055555555555557,NA,7,NA,NA,13.913,NA,NA,NA,NA,NA,NA
r_1150005_3070026,3070026,Gadajit Market,SchedPush,1,0.48055555555555557,NA,7,NA,NA,13.913,NA,NA,NA,NA,NA,NA
r_1070003_3070027,1070003,Potato farms in Banki tehsil,SchedPush,0,0.10166666666666667,NA,7,NA,NA,3.017,NA,NA,NA,NA,NA,NA
r_1070003_3070027,3070027,Durgapur Market,SchedPush,1,0.10166666666666667,NA,7,NA,NA,3.017,NA,NA,NA,NA,NA,NA
r_1070003_3070028,1070003,Potato farms in Banki tehsil,SchedPush,0,0.2544444444444444,NA,7,NA,NA,8.518,NA,NA,NA,NA,NA,NA
r_1070003_3070028,3070028,Naraganga Market,SchedPush,1,0.2544444444444444,NA,7,NA,NA,8.518,NA,NA,NA,NA,NA,NA
r_1070006_3070029,1070006,Potato farms in Dampada tehsil,SchedPush,0,0.2136111111111111,NA,7,NA,NA,9.736,NA,NA,NA,NA,NA,NA
r_1070006_3070029,3070029,Pathapur Market,SchedPush,1,0.2136111111111111,NA,7,NA,NA,9.736,NA,NA,NA,NA,NA,NA
r_1070003_3070030,1070003,Potato farms in Banki tehsil,SchedPush,0,0.12944444444444445,NA,7,NA,NA,4.505,NA,NA,NA,NA,NA,NA
r_1070003_3070030,3070030,Harirajpur Market,SchedPush,1,0.12944444444444445,NA,7,NA,NA,4.505,NA,NA,NA,NA,NA,NA
r_1070006_3070031,1070006,Potato farms in Dampada tehsil,SchedPush,0,0.3038888888888889,NA,7,NA,NA,10.954,NA,NA,NA,NA,NA,NA
r_1070006_3070031,3070031,Tala Basta Market,SchedPush,1,0.3038888888888889,NA,7,NA,NA,10.954,NA,NA,NA,NA,NA,NA
r_1070003_3070032,1070003,Potato farms in Banki tehsil,SchedPush,0,0.25916666666666666,NA,7,NA,NA,8.679,NA,NA,NA,NA,NA,NA
r_1070003_3070032,3070032,Tulasipur Market,SchedPush,1,0.25916666666666666,NA,7,NA,NA,8.679,NA,NA,NA,NA,NA,NA
r_1070005_3070033,1070005,Potato farms in Cuttack Sadar tehsil,SchedPush,0,0.2061111111111111,NA,7,NA,NA,6.896,NA,NA,NA,NA,NA,NA
r_1070005_3070033,3070033,Naranapur Market,SchedPush,1,0.2061111111111111,NA,7,NA,NA,6.896,NA,NA,NA,NA,NA,NA
r_1070007_3070034,1070007,Potato farms in Kantapada tehsil,SchedPush,0,0.4802777777777778,NA,7,NA,NA,18.569,NA,NA,NA,NA,NA,NA
r_1070007_3070034,3070034,Rahura Market,SchedPush,1,0.4802777777777778,NA,7,NA,NA,18.569,NA,NA,NA,NA,NA,NA
r_1070007_3070035,1070007,Potato farms in Kantapada tehsil,SchedPush,0,0.5455555555555556,NA,7,NA,NA,19.471,NA,NA,NA,NA,NA,NA
r_1070007_3070035,3070035,Maheshpur Market,SchedPush,1,0.5455555555555556,NA,7,NA,NA,19.471,NA,NA,NA,NA,NA,NA
r_1070005_3070036,1070005,Potato farms in Cuttack Sadar tehsil,SchedPush,0,0.19777777777777777,NA,7,NA,NA,5.971,NA,NA,NA,NA,NA,NA
r_1070005_3070036,3070036,Kunheipara Market,SchedPush,1,0.19777777777777777,NA,7,NA,NA,5.971,NA,NA,NA,NA,NA,NA
r_1070007_3070037,1070007,Potato farms in Kantapada tehsil,SchedPush,0,0.21916666666666668,NA,7,NA,NA,9.922,NA,NA,NA,NA,NA,NA
r_1070007_3070037,3070037,Brahmanjharilo Market,SchedPush,1,0.21916666666666668,NA,7,NA,NA,9.922,NA,NA,NA,NA,NA,NA
r_1070007_3070038,1070007,Potato farms in Kantapada tehsil,SchedPush,0,0.15916666666666668,NA,7,NA,NA,7.032,NA,NA,NA,NA,NA,NA
