Make,Model,Year,Energy,freezer,cooler,roomtemperature,Name,ClassName,ColdLifetime,AlarmDays,SnoozeDays,Notes
Electrolux,TC883,YearUnk,E,229,0,,N_TC883_U_E,ElectricFridge,,,,
Electrolux,TCW1151/CF,1987,E,0,169,,N_TCW1151CF_1987_E,ElectricFridge,,,,
Electrolux,TCW1151/CF,1996,E,0,169,,N_TCW1151CF_1996_E,ElectricFridge,,,,
Electrolux,TCW1151/CF,1998,E,0,169,,N_TCW1151CF_1998_E,ElectricFridge,,,,
Electrolux,TCW1151/CF,1999,E,0,169,,N_TCW1151CF_1999_E,ElectricFridge,,,,
Electrolux,TCW1151/CF,2001,E,0,169,,N_TCW1151CF_2001_E,ElectricFridge,,,,
Electrolux,TCW1151/CF,2002,E,0,169,,N_TCW1151CF_2002_E,ElectricFridge,,,,
Electrolux,TCW1151/CF,2003,E,0,169,,N_TCW1151CF_2003_E,ElectricFridge,,,,
Electrolux,TCW1151/CF,2005,E,0,169,,N_TCW1151CF_2005_E,ElectricFridge,,,,
Electrolux,TCW1151/CF,YearUnk,E,0,169,,N_TCW1151CF_U_E,ElectricFridge,,,,
Electrolux,TCW1152/CF,1996,E,0,169,,N_TCW1152CF_1996_E,ElectricFridge,,,,
Electrolux,TCW1152/CF,1998,E,0,169,,N_TCW1152CF_1998_E,ElectricFridge,,,,
Electrolux,TCW1152/CF,1999,E,0,169,,N_TCW1152CF_1999_E,ElectricFridge,,,,
Electrolux,TCW1152/CF,2000,E,0,169,,N_TCW1152CF_2000_E,ElectricFridge,,,,
Electrolux,TCW1152/CF,2001,E,0,169,,N_TCW1152CF_2001_E,ElectricFridge,,,,
Electrolux,TCW1152/CF,2002,E,0,169,,N_TCW1152CF_2002_E,ElectricFridge,,,,
Electrolux,TCW1152/CF,2007,E,0,169,,N_TCW1152CF_2007_E,ElectricFridge,,,,
Electrolux,TCW1152/CF,YearUnk,E,0,169,,N_TCW1152CF_U_E,ElectricFridge,,,,
Electrolux,TCW1990,1997,E,11,60,,N_TCW1990_1997_E,ElectricFridge,,,,
Electrolux,TCW1990,1998,E,11,60,,N_TCW1990_1998_E,ElectricFridge,,,,
Electrolux,TCW1990,2000,E,11,60,,N_TCW1990_2000_E,ElectricFridge,,,,
Electrolux,TCW1990,2001,E,11,60,,N_TCW1990_2001_E,ElectricFridge,,,,
Electrolux,TCW1990,2002,E,11,60,,N_TCW1990_2002_E,ElectricFridge,,,,
Electrolux,TCW1990,2003,E,11,60,,N_TCW1990_2003_E,ElectricFridge,,,,
Electrolux,TCW1990,2004,E,11,60,,N_TCW1990_2004_E,ElectricFridge,,,,
Electrolux,TFW791,1987,E,50,0,,N_TFW791_1987_E,ElectricFridge,,,,
Electrolux,TFW791,1994,E,50,0,,N_TFW791_1994_E,ElectricFridge,,,,
Electrolux,TFW791,1996,E,50,0,,N_TFW791_1996_E,ElectricFridge,,,,
Electrolux,TFW791,1997,E,50,0,,N_TFW791_1997_E,ElectricFridge,,,,
Electrolux,TFW791,1998,E,50,0,,N_TFW791_1998_E,ElectricFridge,,,,
Electrolux,TFW791,1999,E,50,0,,N_TFW791_1999_E,ElectricFridge,,,,
Electrolux,TFW791,2001,E,50,0,,N_TFW791_2001_E,ElectricFridge,,,,
Electrolux,TFW791,YearUnk,E,50,0,,N_TFW791_U_E,ElectricFridge,,,,
Electrolux,TFW800,2002,E,144,0,,N_TFW800_2002_E,ElectricFridge,,,,
Electrolux,TFW800,2003,E,144,0,,N_TFW800_2003_E,ElectricFridge,,,,
Electrolux,TFW800,2004,E,144,0,,N_TFW800_2004_E,ElectricFridge,,,,
Electrolux,TFW800,2005,E,144,0,,N_TFW800_2005_E,ElectricFridge,,,,
FORTUM AES,CFS49 ISI,1996,S,0,30,,N_CFS49ISI_1996_S,Fridge,,,,
FORTUM AES,CFS49 ISI,1998,S,0,30,,N_CFS49ISI_1998_S,Fridge,,,,
FORTUM AES,CFS49 ISI,1999,S,0,30,,N_CFS49ISI_1999_S,Fridge,,,,
FORTUM AES,CFS49 ISI,2001,S,0,30,,N_CFS49ISI_2001_S,Fridge,,,,
FORTUM AES,CFS49 ISI,2004,S,0,30,,N_CFS49ISI_2004_S,Fridge,,,,
FORTUM AES,CFS49 ISI,YearUnk,G,0,30,,N_CFS49ISI_U_G,Fridge,,,,
FORTUM AES,CFS49 ISI,YearUnk,S,0,30,,N_CFS49ISI_U_S,Fridge,,,,
Ignis,S55,1988,E,0,378,,N_S55_1988_E,ElectricFridge,,,,
Ignis,S55,2001,E,0,378,,N_S55_2001_E,ElectricFridge,,,,
0,PSPR,2007,E,0,0,,N_PSPR_2007_E,ElectricFridge,,,,
0,PSPR,2007,EnergyUnk,0,0,,N_PSPR_2007_U,Fridge,,,,
0,PSPR,2007,G,0,0,,N_PSPR_2007_G,Fridge,,,,
0,PSPR,YearUnk,EnergyUnk,0,0,,N_PSPR_U_U,Fridge,,,,
0,PSPR,YearUnk,G,0,0,,N_PSPR_U_G,Fridge,,,,
NORCAST,NRC30-10,1998,S,0,16,,N_NRC30-10_1998_S,Fridge,,,,
SET,KT180-12,1886,S,0,56,,N_KT180-12_1886_S,Fridge,,,,
SET,KT180-12,1995,S,0,56,,N_KT180-12_1995_S,Fridge,,,,
SET,KT180-12,1996,S,0,56,,N_KT180-12_1996_S,Fridge,,,,
Sibir,V110GE,1995,G,0,17,,N_V110GE_1995_G,Fridge,,,,
Sibir,V110GE,1998,G,0,17,,N_V110GE_1998_G,Fridge,,,,
Sibir,V110GE,1999,G,0,17,,N_V110GE_1999_G,Fridge,,,,
Sibir,V110GE,2000,E,0,17,,N_V110GE_2000_E,ElectricFridge,,,,
Sibir,V110GE,2000,G,0,17,,N_V110GE_2000_G,Fridge,,,,
Sibir,V110GE,2001,E,0,17,,N_V110GE_2001_E,ElectricFridge,,,,
Sibir,V110GE,2002,E,0,17,,N_V110GE_2002_E,ElectricFridge,,,,
Sibir,V110GE,2002,G,0,17,,N_V110GE_2002_G,Fridge,,,,
Sibir,V110GE,2003,E,0,17,,N_V110GE_2003_E,ElectricFridge,,,,
Sibir,V110GE,2003,G,0,17,,N_V110GE_2003_G,Fridge,,,,
Sibir,V110GE,2004,E,0,17,,N_V110GE_2004_E,ElectricFridge,,,,
Sibir,V110GE,2004,G,0,17,,N_V110GE_2004_G,Fridge,,,,
Sibir,V110GE,2005,E,0,17,,N_V110GE_2005_E,ElectricFridge,,,,
Sibir,V110GE,2005,G,0,17,,N_V110GE_2005_G,Fridge,,,,
Sibir,V110GE,2006,E,0,17,,N_V110GE_2006_E,ElectricFridge,,,,
Sibir,V110GE,2006,G,0,17,,N_V110GE_2006_G,Fridge,,,,
Sibir,V110GE,2007,E,0,17,,N_V110GE_2007_E,ElectricFridge,,,,
Sibir,V110GE,2007,G,0,17,,N_V110GE_2007_G,Fridge,,,,
Sibir,V110GE,2008,E,0,17,,N_V110GE_2008_E,ElectricFridge,,,,
Sibir,V110GE,2008,G,0,17,,N_V110GE_2008_G,Fridge,,,,
Sibir,V110GE,YearUnk,E,0,17,,N_V110GE_U_E,ElectricFridge,,,,
Sibir,V110GE,YearUnk,G,0,17,,N_V110GE_U_G,Fridge,,,,
Sibir,V110KE,2007,G,0,17,,N_V110KE_2007_G,Fridge,,,,
Sibir,V170EK,2003,E,36,55,,N_V170EK_2003_E,ElectricFridge,,,,
Sibir,V170GE,1997,E,36,55,,N_V170GE_1997_E,ElectricFridge,,,,
Sibir,V170GE,1997,G,36,55,,N_V170GE_1997_G,Fridge,,,,
Sibir,V170GE,1998,E,36,55,,N_V170GE_1998_E,ElectricFridge,,,,
Sibir,V170GE,1998,G,36,55,,N_V170GE_1998_G,Fridge,,,,
Sibir,V170GE,1999,E,36,55,,N_V170GE_1999_E,ElectricFridge,,,,
Sibir,V170GE,1999,G,36,55,,N_V170GE_1999_G,Fridge,,,,
Sibir,V170GE,2000,E,36,55,,N_V170GE_2000_E,ElectricFridge,,,,
Sibir,V170GE,2000,G,36,55,,N_V170GE_2000_G,Fridge,,,,
Sibir,V170GE,2001,E,36,55,,N_V170GE_2001_E,ElectricFridge,,,,
Sibir,V170GE,2001,G,36,55,,N_V170GE_2001_G,Fridge,,,,
Sibir,V170GE,2002,E,36,55,,N_V170GE_2002_E,ElectricFridge,,,,
Sibir,V170GE,2002,G,36,55,,N_V170GE_2002_G,Fridge,,,,
Sibir,V170GE,2003,E,36,55,,N_V170GE_2003_E,ElectricFridge,,,,
Sibir,V170GE,2003,G,36,55,,N_V170GE_2003_G,Fridge,,,,
Sibir,V170GE,2003,S,36,55,,N_V170GE_2003_S,Fridge,,,,
Sibir,V170GE,2004,E,36,55,,N_V170GE_2004_E,ElectricFridge,,,,
Sibir,V170GE,2004,G,36,55,,N_V170GE_2004_G,Fridge,,,,
Sibir,V170GE,2004,S,36,55,,N_V170GE_2004_S,Fridge,,,,
Sibir,V170GE,2005,E,36,55,,N_V170GE_2005_E,ElectricFridge,,,,
Sibir,V170GE,2005,G,36,55,,N_V170GE_2005_G,Fridge,,,,
Sibir,V170GE,2005,S,36,55,,N_V170GE_2005_S,Fridge,,,,
Sibir,V170GE,2006,E,36,55,,N_V170GE_2006_E,ElectricFridge,,,,
Sibir,V170GE,2006,G,36,55,,N_V170GE_2006_G,Fridge,,,,
Sibir,V170GE,2007,E,36,55,,N_V170GE_2007_E,ElectricFridge,,,,
Sibir,V170GE,2007,G,36,55,,N_V170GE_2007_G,Fridge,,,,
Sibir,V170GE,2008,E,36,55,,N_V170GE_2008_E,ElectricFridge,,,,
Sibir,V170GE,2008,G,36,55,,N_V170GE_2008_G,Fridge,,,,
Sibir,V170GE,YearUnk,E,36,55,,N_V170GE_U_E,ElectricFridge,,,,
Sibir,V170GE,YearUnk,EnergyUnk,36,55,,N_V170GE_U_U,Fridge,,,,
Sibir,V170GE,YearUnk,G,36,55,,N_V170GE_U_G,Fridge,,,,
Sibir,V240EG,1997,G,30,68,,N_V240EG_1997_G,Fridge,,,,
Sibir,V240EG,1998,G,30,68,,N_V240EG_1998_G,Fridge,,,,
