Make,Model,DisplayName,Year,Energy,freezer,cooler,roomtemperature,Name,ClassName,ColdLifetime,AlarmDays,SnoozeDays,Notes,
Ifacredo,VC,Ifacredo VC 5L,YearUnk,,0,5,,Std_VC_Ifacredo,ShippableFridge,,,,Source: Senegal cost model_phase II_ 25Oct2011.xlsx,
Ifacredo,VC,Ifacredo VC 4L,YearUnk,,0,4,,Std_VC_Ifacredo_small,ShippableFridge,,,,Source: Senegal cost model_phase II_ 25Oct2011.xlsx,
Electrolux,VC,Electrolux VC 1L,YearUnk,,0,1,,Std_VC_Electrolux,ShippableFridge,,,,Source: Senegal cost model_phase II_ 25Oct2011.xlsx,
Portevaccine,VC,Portevaccine VC 1L,YearUnk,,0,1,,Std_VC_PortevaccineRC2,ShippableFridge,,,,Source: Senegal cost model_phase II_ 25Oct2011.xlsx,
Giostyle,VC,Giostyle VC 1L,YearUnk,,0,1,,Std_VC_Giostyleportevaccine,ShippableFridge,,,,Source: Senegal cost model_phase II_ 25Oct2011.xlsx,
generic,CB,Generic CB 170L,YearUnk,,0,170,,Std_BigBox,ShippableFridge,,,,,
RCW4/30,CB,CB RCW4,YearUnk,,0,3.6,,Std_CB_RCW430,ShippableFridge,,,,,
RCW4/30,CB_WO_IcePack,CB RCW4 no ice,YearUnk,,0,14,,Std_CB_RCW430_WO,ShippableFridge,,,,,
RCW8,CB,CB RCW8,YearUnk,,0,7.1,,Std_CB_RCW8,ShippableFridge,,,,,
RCW12,CB,CB RCW12,YearUnk,,0,9.2,,Std_CB_RCW12,ShippableFridge,,,,,
Sundanzer,BFRV55,BFRV55,YearUnk,,0,54.5,,Std_BFRV55_S,Fridge,,,,,
