"DisplayName","Name","Notes","BaseSalaryYear","BaseSalaryCur","SortOrder","BaseSalary","FractionEPI"
"Warehouse Worker","Std_WarehouseStaff","",2014,"USD",2,6000.0,1.0
"Driver","Std_Driver","",2014,"USD",1,1800.0,0.25
